example_id,pattern_name,pattern_type,path_type,layer_idx,mean_curvature,max_curvature,variance_curvature,total_curvature,semantic_distance,path_length,geodesic_efficiency,landmark_accuracy
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,7,0.0,0.0,0.0,0.0,19.5,19.5,1.0,3295.975341796875
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,11,0.0,0.0,0.0,0.0,5.7578125,5.7578125,1.0,20763.943359375
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,15,0.0,0.0,0.0,0.0,21.875,21.875,1.0,26297.603515625
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,22,0.0,0.0,0.0,0.0,19.2890625,19.2890625,1.0,30011.384765625
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,27,0.06283185307179587,3.141592653589793,0.19344424626135137,3.141592653589793,4.5,61.80466842651367,0.07281003384640017,34752.8671875
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,29,0.0,0.0,0.0,0.0,8.375,8.375,1.0,38687.0390625
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,1,0.06283185307179587,3.141592653589793,0.19344424626135137,3.141592653589793,2.093750476837158,9.501837491989136,0.22035216647331313,840.0430297851562
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,5,0.06283185307179587,3.141592653589793,0.19344424626135137,3.141592653589793,8.53125,10.612746238708496,0.8038682738765078,2423.384033203125
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,7,0.0,0.0,0.0,0.0,19.5,19.5,1.0,3295.975341796875
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,11,0.0,0.0,0.0,0.0,5.7578125,5.7578125,1.0,20763.943359375
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,15,0.0,0.0,0.0,0.0,21.875,21.875,1.0,26297.603515625
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,22,0.0,0.0,0.0,0.0,19.2890625,19.2890625,1.0,30011.384765625
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,27,0.06283185307179587,3.141592653589793,0.19344424626135137,3.141592653589793,4.5,61.80466842651367,0.07281003384640017,34752.8671875
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,29,0.0,0.0,0.0,0.0,8.375,8.375,1.0,38687.0390625
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,1,0.06283185307179587,3.141592653589793,0.19344424626135137,3.141592653589793,2.093750476837158,9.501837491989136,0.22035216647331313,840.0430297851562
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,5,0.06283185307179587,3.141592653589793,0.19344424626135137,3.141592653589793,8.53125,10.612746238708496,0.8038682738765078,2423.384033203125
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,7,0.0,0.0,0.0,0.0,19.5,19.5,1.0,3295.975341796875
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,11,0.0,0.0,0.0,0.0,5.7578125,5.7578125,1.0,20763.943359375
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,15,0.0,0.0,0.0,0.0,21.875,21.875,1.0,26297.603515625
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,22,0.0,0.0,0.0,0.0,19.2890625,19.2890625,1.0,30011.384765625
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,27,0.06283185307179587,3.141592653589793,0.19344424626135137,3.141592653589793,4.5,61.80466842651367,0.07281003384640017,34752.8671875
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,29,0.0,0.0,0.0,0.0,8.375,8.375,1.0,38687.0390625
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,1,0.06283185307179587,3.141592653589793,0.19344424626135137,3.141592653589793,2.093750476837158,9.501837491989136,0.22035216647331313,840.0430297851562
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,5,0.06283185307179587,3.141592653589793,0.19344424626135137,3.141592653589793,8.53125,10.612746238708496,0.8038682738765078,2423.384033203125
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,7,0.0,0.0,0.0,0.0,19.5,19.5,1.0,3295.975341796875
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,11,0.0,0.0,0.0,0.0,5.7578125,5.7578125,1.0,20763.943359375
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,15,0.0,0.0,0.0,0.0,21.875,21.875,1.0,26297.603515625
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,22,0.0,0.0,0.0,0.0,19.2890625,19.2890625,1.0,30011.384765625
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,27,0.06283185307179587,3.141592653589793,0.19344424626135137,3.141592653589793,4.5,61.80466842651367,0.07281003384640017,34752.8671875
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,29,0.0,0.0,0.0,0.0,8.375,8.375,1.0,38687.0390625
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,1,0.06283185307179587,3.141592653589793,0.19344424626135137,3.141592653589793,2.093750476837158,9.501837491989136,0.22035216647331313,840.0430297851562
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,5,0.06283185307179587,3.141592653589793,0.19344424626135137,3.141592653589793,8.53125,10.612746238708496,0.8038682738765078,2423.384033203125
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,7,0.0,0.0,0.0,0.0,19.5,19.5,1.0,3295.975341796875
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,11,0.0,0.0,0.0,0.0,5.7578125,5.7578125,1.0,20763.943359375
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,15,0.0,0.0,0.0,0.0,21.875,21.875,1.0,26297.603515625
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,22,0.0,0.0,0.0,0.0,19.2890625,19.2890625,1.0,30011.384765625
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,27,0.06283185307179587,3.141592653589793,0.19344424626135137,3.141592653589793,4.5,61.80466842651367,0.07281003384640017,34752.8671875
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,29,0.0,0.0,0.0,0.0,8.375,8.375,1.0,38687.0390625
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,1,0.06283185307179587,3.141592653589793,0.19344424626135137,3.141592653589793,2.093750476837158,9.501837491989136,0.22035216647331313,840.0430297851562
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,5,0.06283185307179587,3.141592653589793,0.19344424626135137,3.141592653589793,8.53125,10.612746238708496,0.8038682738765078,2423.384033203125
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,7,0.0,0.0,0.0,0.0,19.5,19.5,1.0,3295.975341796875
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,11,0.0,0.0,0.0,0.0,5.7578125,5.7578125,1.0,20763.943359375
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,15,0.0,0.0,0.0,0.0,21.875,21.875,1.0,26297.603515625
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,22,0.0,0.0,0.0,0.0,19.2890625,19.2890625,1.0,30011.384765625
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,27,0.06283185307179587,3.141592653589793,0.19344424626135137,3.141592653589793,4.5,61.80466842651367,0.07281003384640017,34752.8671875
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,29,0.0,0.0,0.0,0.0,8.375,8.375,1.0,38687.0390625
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,1,0.06283185307179587,3.141592653589793,0.19344424626135137,3.141592653589793,2.093750476837158,9.501837491989136,0.22035216647331313,840.0430297851562
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,5,0.06283185307179587,3.141592653589793,0.19344424626135137,3.141592653589793,8.53125,10.612746238708496,0.8038682738765078,2423.384033203125
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,7,0.0,0.0,0.0,0.0,19.5,19.5,1.0,3295.975341796875
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,11,0.0,0.0,0.0,0.0,5.7578125,5.7578125,1.0,20763.943359375
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,15,0.0,0.0,0.0,0.0,21.875,21.875,1.0,26297.603515625
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,22,0.0,0.0,0.0,0.0,19.2890625,19.2890625,1.0,30011.384765625
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,27,0.06283185307179587,3.141592653589793,0.19344424626135137,3.141592653589793,4.5,61.80466842651367,0.07281003384640017,34752.8671875
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,29,0.0,0.0,0.0,0.0,8.375,8.375,1.0,38687.0390625
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,1,0.06283185307179587,3.141592653589793,0.19344424626135137,3.141592653589793,2.093750476837158,9.501837491989136,0.22035216647331313,840.0430297851562
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,5,0.06283185307179587,3.141592653589793,0.19344424626135137,3.141592653589793,8.53125,10.612746238708496,0.8038682738765078,2423.384033203125
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,7,0.0,0.0,0.0,0.0,19.5,19.5,1.0,3295.975341796875
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,11,0.0,0.0,0.0,0.0,5.7578125,5.7578125,1.0,20763.943359375
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,15,0.0,0.0,0.0,0.0,21.875,21.875,1.0,26297.603515625
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,22,0.0,0.0,0.0,0.0,19.2890625,19.2890625,1.0,30011.384765625
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,27,0.06283185307179587,3.141592653589793,0.19344424626135137,3.141592653589793,4.5,61.80466842651367,0.07281003384640017,34752.8671875
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,29,0.0,0.0,0.0,0.0,8.375,8.375,1.0,38687.0390625
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,1,0.06283185307179587,3.141592653589793,0.19344424626135137,3.141592653589793,2.093750476837158,9.501837491989136,0.22035216647331313,840.0430297851562
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,5,0.06283185307179587,3.141592653589793,0.19344424626135137,3.141592653589793,8.53125,10.612746238708496,0.8038682738765078,2423.384033203125
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,7,0.0,0.0,0.0,0.0,19.5,19.5,1.0,3295.975341796875
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,11,0.0,0.0,0.0,0.0,5.7578125,5.7578125,1.0,20763.943359375
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,15,0.0,0.0,0.0,0.0,21.875,21.875,1.0,26297.603515625
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,22,0.0,0.0,0.0,0.0,19.2890625,19.2890625,1.0,30011.384765625
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,27,0.06283185307179587,3.141592653589793,0.19344424626135137,3.141592653589793,4.5,61.80466842651367,0.07281003384640017,34752.8671875
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,29,0.0,0.0,0.0,0.0,8.375,8.375,1.0,38687.0390625
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,1,0.06283185307179587,3.141592653589793,0.19344424626135137,3.141592653589793,2.093750476837158,9.501837491989136,0.22035216647331313,840.0430297851562
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,5,0.06283185307179587,3.141592653589793,0.19344424626135137,3.141592653589793,8.53125,10.612746238708496,0.8038682738765078,2423.384033203125
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,7,0.0,0.0,0.0,0.0,19.5,19.5,1.0,3295.975341796875
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,11,0.0,0.0,0.0,0.0,5.7578125,5.7578125,1.0,20763.943359375
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,15,0.0,0.0,0.0,0.0,21.875,21.875,1.0,26297.603515625
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,22,0.0,0.0,0.0,0.0,19.2890625,19.2890625,1.0,30011.384765625
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,27,0.06283185307179587,3.141592653589793,0.19344424626135137,3.141592653589793,4.5,61.80466842651367,0.07281003384640017,34752.8671875
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,29,0.0,0.0,0.0,0.0,8.375,8.375,1.0,38687.0390625
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,1,0.06283185307179587,3.141592653589793,0.19344424626135137,3.141592653589793,2.093750476837158,9.501837491989136,0.22035216647331313,840.0430297851562
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,5,0.06283185307179587,3.141592653589793,0.19344424626135137,3.141592653589793,8.53125,10.612746238708496,0.8038682738765078,2423.384033203125
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,7,0.0,0.0,0.0,0.0,19.5,19.5,1.0,3295.975341796875
conflict-focused_self-reflection_0,Conflict-Focused Self-Reflection,Internal dialectical processing,landmark,11,0.0,0.0,0.0,0.0,5.7578125,5.7578125,1.0,20763.943359375
